section,rectangle,ROI,label,xcentroid,ycentroid,MajorAxis,MinorAxis,angle,circ.,AR,round,solidity
2,2,34,20210909_Xyln_02_2.tif,4.767,3.479,0.73,0.488,161.123,0.9,1.496,0.669,0.935
2,2,35,20210909_Xyln_02_2.tif,3.161,3.615,0.809,0.594,149.911,0.906,1.361,0.734,0.926
2,2,36,20210909_Xyln_02_2.tif,5.934,3.507,0.843,0.409,2.16,0.709,2.06,0.485,0.888
2,2,37,20210909_Xyln_02_2.tif,1.723,3.681,0.637,0.421,55.082,0.858,1.514,0.66,0.916
2,2,38,20210909_Xyln_02_2.tif,6.805,3.753,0.792,0.376,178.048,0.758,2.108,0.474,0.899
2,2,39,20210909_Xyln_02_2.tif,2.459,3.856,0.75,0.525,159.849,0.872,1.428,0.7,0.93
2,2,40,20210909_Xyln_02_2.tif,0.85,3.937,0.966,0.428,177.272,0.726,2.257,0.443,0.927
2,2,41,20210909_Xyln_02_2.tif,5.178,4.011,0.914,0.511,178.654,0.756,1.788,0.559,0.906
2,2,42,20210909_Xyln_02_2.tif,4.027,4.024,0.819,0.508,0.396,0.847,1.613,0.62,0.927
2,2,43,20210909_Xyln_02_2.tif,3.147,4.287,0.752,0.551,4.168,0.935,1.365,0.733,0.942
2,2,44,20210909_Xyln_02_2.tif,6.12,4.371,0.876,0.483,154.374,0.846,1.813,0.552,0.945
2,2,45,20210909_Xyln_02_2.tif,2.26,4.397,0.892,0.477,165.361,0.806,1.872,0.534,0.933
2,2,46,20210909_Xyln_02_2.tif,1.347,4.465,0.782,0.542,179.991,0.905,1.444,0.693,0.96
2,2,47,20210909_Xyln_02_2.tif,4.697,4.536,0.714,0.602,6.856,0.93,1.187,0.842,0.942
2,2,48,20210909_Xyln_02_2.tif,3.875,4.645,0.798,0.543,173.321,0.891,1.468,0.681,0.932
2,2,49,20210909_Xyln_02_2.tif,5.497,4.687,0.807,0.581,163.306,0.891,1.389,0.72,0.928
2,2,50,20210909_Xyln_02_2.tif,0.577,4.854,0.763,0.581,5.253,0.885,1.314,0.761,0.922
2,2,51,20210909_Xyln_02_2.tif,2.067,4.914,0.841,0.44,168.212,0.819,1.909,0.524,0.924
2,2,52,20210909_Xyln_02_2.tif,2.841,4.899,0.483,0.428,108.212,0.68,1.129,0.886,0.827
2,2,53,20210909_Xyln_02_2.tif,6.143,5.174,0.823,0.599,10.709,0.889,1.374,0.728,0.942
2,2,54,20210909_Xyln_02_2.tif,1.336,5.179,0.762,0.53,178.686,0.893,1.437,0.696,0.947
2,2,55,20210909_Xyln_02_2.tif,5.163,5.211,0.954,0.504,164.753,0.805,1.892,0.529,0.928
2,2,56,20210909_Xyln_02_2.tif,4.217,5.233,0.891,0.438,168.562,0.802,2.033,0.492,0.921
2,2,57,20210909_Xyln_02_2.tif,2.188,5.52,0.861,0.575,176.49,0.878,1.498,0.668,0.931
2,2,58,20210909_Xyln_02_2.tif,3.188,5.472,0.809,0.502,1.277,0.886,1.612,0.62,0.949
2,2,59,20210909_Xyln_02_2.tif,6.56,5.798,0.68,0.597,134.556,0.926,1.139,0.878,0.945
2,2,60,20210909_Xyln_02_2.tif,4.915,5.77,0.789,0.554,168.265,0.873,1.425,0.702,0.939
2,2,61,20210909_Xyln_02_2.tif,5.788,5.793,0.746,0.529,163.133,0.899,1.41,0.709,0.93
2,2,62,20210909_Xyln_02_2.tif,4.038,5.751,0.805,0.367,165.165,0.745,2.194,0.456,0.893
2,2,63,20210909_Xyln_02_2.tif,2.874,5.981,0.672,0.337,178.462,0.599,1.993,0.502,0.816
